lr_group_0,lr_group_1,step,valid-uas_macro_f1,valid-uas_micro_f1,valid-las_macro_f1,valid-las_micro_f1,epoch,train-loss_arc,train-loss_type,train-loss
3.0557202133965625e-05,3.0557202133965625e-05,243,,,,,,,,
3.043864848844102e-05,3.043864848844102e-05,244,,,,,,,,
3.032009484291642e-05,3.032009484291642e-05,245,,,,,,,,
,,212,82.35667419433594,89.70994567871094,63.56136703491211,85.77348327636719,1,,,
3.020154119739182e-05,3.020154119739182e-05,247,,,,,,,,
3.008298755186722e-05,3.008298755186722e-05,248,,,,,,,,
2.9964433906342622e-05,2.9964433906342622e-05,249,,,,,,,,
2.984588026081802e-05,2.984588026081802e-05,250,,,,,,,,
2.972732661529342e-05,2.972732661529342e-05,251,,,,,,,,
2.960877296976882e-05,2.960877296976882e-05,252,,,,,,,,
2.9490219324244222e-05,2.9490219324244222e-05,253,,,,,,,,
,,219,82.72593688964844,90.40055084228516,62.25877380371094,85.63536071777344,1,,,
2.9371665678719623e-05,2.9371665678719623e-05,255,,,,,,,,
2.9253112033195024e-05,2.9253112033195024e-05,256,,,,,,,,
2.9134558387670425e-05,2.9134558387670425e-05,257,,,,,,,,
2.9016004742145825e-05,2.9016004742145825e-05,258,,,,,,,,
2.889745109662122e-05,2.889745109662122e-05,259,,,,,,,,
2.877889745109662e-05,2.877889745109662e-05,260,,,,,,,,
2.866034380557202e-05,2.866034380557202e-05,261,,,,,,,,
,,226,86.72434997558594,91.02210235595703,64.10871124267578,86.60221099853516,1,,,
2.8541790160047422e-05,2.8541790160047422e-05,263,,,,,,,,
2.8423236514522823e-05,2.8423236514522823e-05,264,,,,,,,,
2.8304682868998224e-05,2.8304682868998224e-05,265,,,,,,,,
2.8186129223473624e-05,2.8186129223473624e-05,266,,,,,,,,
2.8067575577949022e-05,2.8067575577949022e-05,267,,,,,,,,
2.7949021932424423e-05,2.7949021932424423e-05,268,,,,,,,,
2.7830468286899824e-05,2.7830468286899824e-05,269,,,,,,,,
,,233,87.96817016601562,92.1270751953125,65.91940307617188,88.05248260498047,1,,,
2.7711914641375224e-05,2.7711914641375224e-05,271,,,,,,,,
2.7593360995850625e-05,2.7593360995850625e-05,272,,,,,,,,
2.7474807350326026e-05,2.7474807350326026e-05,273,,,,,,,,
2.7356253704801427e-05,2.7356253704801427e-05,274,,,,,,,,
2.723770005927682e-05,2.723770005927682e-05,275,,,,,,,,
2.7119146413752222e-05,2.7119146413752222e-05,276,,,,,,,,
2.7000592768227623e-05,2.7000592768227623e-05,277,,,,,,,,
,,240,87.76921844482422,91.71270751953125,65.31293487548828,87.63812255859375,1,,,
2.6882039122703023e-05,2.6882039122703023e-05,279,,,,,,,,
2.6763485477178424e-05,2.6763485477178424e-05,280,,,,,,,,
2.6644931831653825e-05,2.6644931831653825e-05,281,,,,,,,,
2.6526378186129226e-05,2.6526378186129226e-05,282,,,,,,,,
2.6407824540604627e-05,2.6407824540604627e-05,283,,,,,,,,
2.6289270895080024e-05,2.6289270895080024e-05,284,,,,,,,,
2.6170717249555425e-05,2.6170717249555425e-05,285,,,,,,,,
,,247,87.58770751953125,91.0911636352539,66.18537139892578,87.15469360351562,1,,,
2.6052163604030826e-05,2.6052163604030826e-05,287,,,,,,,,
2.5933609958506227e-05,2.5933609958506227e-05,288,,,,,,,,
,,249,,,,,1,0.5029565691947937,0.19882972538471222,0.7017862796783447
2.5815056312981628e-05,2.5815056312981628e-05,290,,,,,,,,
2.5696502667457022e-05,2.5696502667457022e-05,291,,,,,,,,
2.5577949021932423e-05,2.5577949021932423e-05,292,,,,,,,,
2.5459395376407823e-05,2.5459395376407823e-05,293,,,,,,,,
2.5340841730883224e-05,2.5340841730883224e-05,294,,,,,,,,
,,254,86.6857681274414,91.0911636352539,66.11297607421875,87.29281616210938,1,,,
2.5222288085358625e-05,2.5222288085358625e-05,296,,,,,,,,
2.5103734439834026e-05,2.5103734439834026e-05,297,,,,,,,,
2.4985180794309427e-05,2.4985180794309427e-05,298,,,,,,,,
2.4866627148784828e-05,2.4866627148784828e-05,299,,,,,,,,
2.474807350326023e-05,2.474807350326023e-05,300,,,,,,,,
2.462951985773563e-05,2.462951985773563e-05,301,,,,,,,,
2.4510966212211027e-05,2.4510966212211027e-05,302,,,,,,,,
,,261,87.92731475830078,91.43646240234375,67.33735656738281,87.7762451171875,1,,,
2.4392412566686428e-05,2.4392412566686428e-05,304,,,,,,,,
2.427385892116183e-05,2.427385892116183e-05,305,,,,,,,,
2.4155305275637226e-05,2.4155305275637226e-05,306,,,,,,,,
2.4036751630112627e-05,2.4036751630112627e-05,307,,,,,,,,
2.3918197984588027e-05,2.3918197984588027e-05,308,,,,,,,,
2.3799644339063425e-05,2.3799644339063425e-05,309,,,,,,,,
2.3681090693538826e-05,2.3681090693538826e-05,310,,,,,,,,
,,268,87.37642669677734,91.43646240234375,68.60326385498047,87.84530639648438,1,,,
2.3562537048014227e-05,2.3562537048014227e-05,312,,,,,,,,
2.3443983402489627e-05,2.3443983402489627e-05,313,,,,,,,,
2.3325429756965028e-05,2.3325429756965028e-05,314,,,,,,,,
2.320687611144043e-05,2.320687611144043e-05,315,,,,,,,,
2.308832246591583e-05,2.308832246591583e-05,316,,,,,,,,
2.2969768820391227e-05,2.2969768820391227e-05,317,,,,,,,,
2.2851215174866628e-05,2.2851215174866628e-05,318,,,,,,,,
,,275,87.32890319824219,91.850830078125,67.52387237548828,88.2596664428711,1,,,
2.273266152934203e-05,2.273266152934203e-05,320,,,,,,,,
2.261410788381743e-05,2.261410788381743e-05,321,,,,,,,,
2.249555423829283e-05,2.249555423829283e-05,322,,,,,,,,
2.2377000592768228e-05,2.2377000592768228e-05,323,,,,,,,,
2.225844694724363e-05,2.225844694724363e-05,324,,,,,,,,
2.2139893301719027e-05,2.2139893301719027e-05,325,,,,,,,,
2.2021339656194427e-05,2.2021339656194427e-05,326,,,,,,,,
,,282,87.65049743652344,91.71270751953125,68.59805297851562,88.2596664428711,1,,,
2.1902786010669828e-05,2.1902786010669828e-05,328,,,,,,,,
2.178423236514523e-05,2.178423236514523e-05,329,,,,,,,,
2.166567871962063e-05,2.166567871962063e-05,330,,,,,,,,
2.154712507409603e-05,2.154712507409603e-05,331,,,,,,,,
2.1428571428571428e-05,2.1428571428571428e-05,332,,,,,,,,
2.131001778304683e-05,2.131001778304683e-05,333,,,,,,,,
2.119146413752223e-05,2.119146413752223e-05,334,,,,,,,,
,,289,84.03491973876953,91.71270751953125,70.62024688720703,88.32872772216797,1,,,
2.107291049199763e-05,2.107291049199763e-05,336,,,,,,,,
2.095435684647303e-05,2.095435684647303e-05,337,,,,,,,,
2.0835803200948432e-05,2.0835803200948432e-05,338,,,,,,,,
2.0717249555423833e-05,2.0717249555423833e-05,339,,,,,,,,
2.059869590989923e-05,2.059869590989923e-05,340,,,,,,,,
2.048014226437463e-05,2.048014226437463e-05,341,,,,,,,,
2.036158861885003e-05,2.036158861885003e-05,342,,,,,,,,
,,296,88.01203155517578,92.40331268310547,74.01940155029297,89.43370056152344,1,,,
2.024303497332543e-05,2.024303497332543e-05,344,,,,,,,,
2.012448132780083e-05,2.012448132780083e-05,345,,,,,,,,
2.000592768227623e-05,2.000592768227623e-05,346,,,,,,,,
,,299,,,,,1,0.28395670652389526,0.14845749735832214,0.4324142038822174
1.988737403675163e-05,1.988737403675163e-05,348,,,,,,,,
1.976882039122703e-05,1.976882039122703e-05,349,,,,,,,,
1.965026674570243e-05,1.965026674570243e-05,350,,,,,,,,
1.953171310017783e-05,1.953171310017783e-05,351,,,,,,,,
,,303,84.76741027832031,92.26519012451172,73.03921508789062,89.01934051513672,1,,,
1.9413159454653232e-05,1.9413159454653232e-05,353,,,,,,,,
1.9294605809128633e-05,1.9294605809128633e-05,354,,,,,,,,
1.9176052163604034e-05,1.9176052163604034e-05,355,,,,,,,,
1.905749851807943e-05,1.905749851807943e-05,356,,,,,,,,
1.8938944872554832e-05,1.8938944872554832e-05,357,,,,,,,,
1.8820391227030233e-05,1.8820391227030233e-05,358,,,,,,,,
1.8701837581505634e-05,1.8701837581505634e-05,359,,,,,,,,
,,310,88.88517761230469,93.09392547607422,70.93525695800781,89.98619079589844,1,,,
1.858328393598103e-05,1.858328393598103e-05,361,,,,,,,,
1.8464730290456432e-05,1.8464730290456432e-05,362,,,,,,,,
1.834617664493183e-05,1.834617664493183e-05,363,,,,,,,,
1.822762299940723e-05,1.822762299940723e-05,364,,,,,,,,
1.810906935388263e-05,1.810906935388263e-05,365,,,,,,,,
1.7990515708358032e-05,1.7990515708358032e-05,366,,,,,,,,
1.7871962062833433e-05,1.7871962062833433e-05,367,,,,,,,,
1.7753408417308834e-05,1.7753408417308834e-05,368,,,,,,,,
1.7634854771784235e-05,1.7634854771784235e-05,369,,,,,,,,
1.7516301126259632e-05,1.7516301126259632e-05,370,,,,,,,,
,,320,87.75881958007812,92.54143524169922,72.1969223022461,89.43370056152344,2,,,
1.7397747480735033e-05,1.7397747480735033e-05,372,,,,,,,,
1.7279193835210434e-05,1.7279193835210434e-05,373,,,,,,,,
1.7160640189685835e-05,1.7160640189685835e-05,374,,,,,,,,
1.7042086544161235e-05,1.7042086544161235e-05,375,,,,,,,,
1.6923532898636636e-05,1.6923532898636636e-05,376,,,,,,,,
1.6804979253112034e-05,1.6804979253112034e-05,377,,,,,,,,
1.6686425607587435e-05,1.6686425607587435e-05,378,,,,,,,,
,,327,88.35541534423828,92.8867416381836,74.17835235595703,89.84806823730469,2,,,
1.6567871962062832e-05,1.6567871962062832e-05,380,,,,,,,,
1.6449318316538233e-05,1.6449318316538233e-05,381,,,,,,,,
1.6330764671013634e-05,1.6330764671013634e-05,382,,,,,,,,
1.6212211025489035e-05,1.6212211025489035e-05,383,,,,,,,,
1.6093657379964435e-05,1.6093657379964435e-05,384,,,,,,,,
1.5975103734439833e-05,1.5975103734439833e-05,385,,,,,,,,
1.5856550088915234e-05,1.5856550088915234e-05,386,,,,,,,,
,,334,90.49657440185547,92.54143524169922,73.69518280029297,89.43370056152344,2,,,
1.5737996443390634e-05,1.5737996443390634e-05,388,,,,,,,,
1.5619442797866035e-05,1.5619442797866035e-05,389,,,,,,,,
1.5500889152341436e-05,1.5500889152341436e-05,390,,,,,,,,
1.5382335506816837e-05,1.5382335506816837e-05,391,,,,,,,,
1.5263781861292238e-05,1.5263781861292238e-05,392,,,,,,,,
1.5145228215767635e-05,1.5145228215767635e-05,393,,,,,,,,
1.5026674570243034e-05,1.5026674570243034e-05,394,,,,,,,,
,,341,88.77713775634766,92.74861907958984,70.87419128417969,89.64088439941406,2,,,
1.4908120924718435e-05,1.4908120924718435e-05,396,,,,,,,,
1.4789567279193836e-05,1.4789567279193836e-05,397,,,,,,,,
1.4671013633669237e-05,1.4671013633669237e-05,398,,,,,,,,
1.4552459988144638e-05,1.4552459988144638e-05,399,,,,,,,,
1.4433906342620035e-05,1.4433906342620035e-05,400,,,,,,,,
1.4315352697095436e-05,1.4315352697095436e-05,401,,,,,,,,
1.4196799051570835e-05,1.4196799051570835e-05,402,,,,,,,,
,,348,88.40367889404297,92.1270751953125,75.16800689697266,89.15745544433594,2,,,
